Modality,tokens,median_actual_min,mean_actual_min,p90_actual_min,target_min,compliance
US,541,125.58333333333333,135.37634011090574,212.08333333333334,90.0,0.2144177449168207
MR,410,280.8833333333333,286.88658536585365,429.18666666666667,150.0,0.09024390243902439
XR,340,109.19166666666666,114.22230392156864,208.63333333333335,60.0,0.20294117647058824
CT,271,166.93333333333334,195.89827798277983,336.1,120.0,0.3173431734317343
LB,19,85.7,119.40526315789472,220.09333333333325,,0.0
RE,6,8.475,10.322222222222223,19.3,,0.0
RC,5,4.433333333333334,5.55,10.383333333333333,,0.0
EQ,3,9.15,117.50555555555555,269.28333333333336,,0.0
AM,2,123.39166666666667,123.39166666666667,221.23833333333334,,0.0
